Nombre,Categoría,Grupo,Dirección,Teléfono,Latitud,Longitud,Rating,Cant. Reseñas,Descripción,Estado Verificación,Place ID,Fuente,Estado Auditoría (Lote),Confianza,Observaciones,Evidencia / Fuente,ID_URU
Escribania Lacava,Escribanía,finanzas,"Ereño 862, Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 42-2249,-32.48859,-58.23422,,,,"Verificado con diferencias (auditoria web - nombre confirmado, direccion sin verificar)",ChIJ-7-3RADbr5URE2UH6X-21D0,lugaresmaapapspapr,Verificado con diferencias,Media,"""Escribania Lacava"" aparece listada de forma consistente en multiples directorios de escribanias de Concepcion del Uruguay, confirmando su existencia y rubro, pero ninguna fuente mostro explicitamente la direccion (Ereño 862) para contrastarla.",guiaurbana.com.ar; guia-entre-rios.miguiaargentina.com.ar; escribaniasargentina.com,URU-00486
Escribania Negri,Escribanía,comercios,"Leandro N. Alem 68, Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 42-4567,-32.4860611,-58.2343802,,,,Verificado (auditoría web múltiples fuentes),ChIJ-7-3RADbr5URDKAyHykJNj8,NUEVOSLUGARES5,✅ Verificado,Alta,Confirmado por Páginas Amarillas y múltiples directorios con misma dirección exacta (Leandro N. Alem 68).,paginasamarillas.com.ar; argentino.com.ar; tuescribania.com; escribaniasargentina.com,URU-00090
Escribania Negri,Escribanía,finanzas,"Leandro N. Alem 68, Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 42-4567,-32.48614,-58.23441,,,,Verificado (auditoria web multiples fuentes),ChIJ-7-3RADbr5URDKAyHykJNj8,lugaresmaapapspapr,Verificado,Alta,"Confirmado por multiples directorios independientes (infoisinfo-ar.com, guia-entre-rios.miguiaargentina.com.ar) con direccion exacta (L. N. Alem 68) coincidente con el registro.",concepcion-del-uruguay.infoisinfo-ar.com; guia-entre-rios.miguiaargentina.com.ar,URU-00487
Escribania Vaccalluzzo,Escribanía,comercios,"San Martín 832, Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 42-5758,-32.4857046,-58.2342058,,,,Verificado (auditoría web múltiples fuentes),ChIJoZINXQDbr5UR-m2fHp58VyE,NUEVOSLUGARES5,✅ Verificado,Alta,Confirmado por sitio propio (escribaniavaccalluzzo.com) y múltiples directorios con misma dirección exacta (San Martín 832).,escribaniavaccalluzzo.com; guiaurbana.com.ar; escribanos.aarg.ar; arempresas.com,URU-00084
Escribania Vaccalluzzo,Escribanía,finanzas,"San Martín 832, Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 42-5758,-32.48565,-58.23412,,,,Verificado (auditoria web multiples fuentes - sitio propio),ChIJoZINXQDbr5UR-m2fHp58VyE,lugaresmaapapspapr,Verificado,Alta,"Confirmado por multiples directorios (guiaurbana.com.ar) y sitio web propio (escribaniavaccalluzzo.com), con direccion exacta (San Martin 832) y telefono identico (03442 42-5758).",guiaurbana.com.ar; escribaniavaccalluzzo.com,URU-00485
Escribania Vallarino,Escribanía,comercios,"25 de Mayo 168, Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 42-5766,-32.4822311,-58.2324457,,,,Verificado (auditoría web múltiples fuentes),ChIJ-7-3RADbr5URt_6gLzbScSI,NUEVOSLUGARES5,✅ Verificado,Media,Confirmado por directorio especializado de escribanos (aarg.ar) y directorio cruzado (misterwhat.com.ar) con misma dirección exacta (25 de Mayo 168).,escribanos.aarg.ar; misterwhat.com.ar,URU-00086
Escribania Vallarino,Escribanía,finanzas,"25 de Mayo 168, Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 42-5766,-32.48219,-58.23255,,,,Verificado (auditoria web multiples fuentes),ChIJ-7-3RADbr5URt_6gLzbScSI,lugaresmaapapspapr,Verificado,Alta,"Confirmado por multiples directorios independientes (guiaurbana.com.ar, az-argentina.com, miguiaargentina.com.ar) con direccion exacta (25 de Mayo 168) y telefono identico (03442 42-5766).",guiaurbana.com.ar; az-argentina.com; guia-entre-rios.miguiaargentina.com.ar,URU-00483
Escribania Vivas,Escribanía,comercios,"8 de Junio 609, Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 42-4989,-32.4822529,-58.2310224,,,,Verificado (auditoría web múltiples fuentes),ChIJ-7-3RADbr5UR5nNHMAprgbw,NUEVOSLUGARES5,✅ Verificado,Alta,Confirmado por múltiples directorios independientes con misma dirección exacta (8 de Junio 609).,infobel.com; guiaurbana.com.ar; escribanos.aarg.ar; misterwhat.com.ar,URU-00085
Escribania Vivas,Escribanía,finanzas,"8 de Junio 609, Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 42-4989,-32.4822,-58.23104,,,,"Verificado con diferencias (auditoria web - nombre confirmado, direccion sin verificar)",ChIJ-7-3RADbr5UR5nNHMAprgbw,lugaresmaapapspapr,Verificado con diferencias,Media,"""Escribania Vivas"" aparece listada de forma consistente en multiples directorios de escribanias de Concepcion del Uruguay, confirmando su existencia y rubro, pero ninguna fuente mostro explicitamente la direccion (8 de Junio 609) para contrastarla.",guiaurbana.com.ar; escribaniasargentina.com,URU-00484
Estudio Jurídico Rousseaux - Abogados,Abogado,comercios,"Artusi 874, E3260 Concepción del Uruguay, Entre Ríos, Argentina",+54 9 3442 47-8750,-32.4807358,-58.2359504,,,,Verificado (auditoría web múltiples fuentes),ChIJVbLXQ1Xar5URCSoGBSRLH30,NUEVOSLUGARES5,✅ Verificado,Alta,"Confirmado por sitio propio, Facebook, Cylex y listado del Colegio de Abogados de Entre Ríos con misma dirección exacta (Artusi 874).",estudio-juridico-rousseaux-abogados.negocio.site; facebook.com/erabogadosok; cylex.com.ar; findglocal.com,URU-00076
Estudio Jurídico Rousseaux - Abogados,Abogado,finanzas,"Artusi 874, E3260 Concepción del Uruguay, Entre Ríos, Argentina",+54 9 3442 47-8750,-32.48084,-58.23581,,,,Requiere confirmacion manual (auditoria web sin coincidencia suficiente),ChIJVbLXQ1Xar5URCSoGBSRLH30,lugaresmaapapspapr,Requiere confirmacion manual,Baja,"Busqueda web realizada para ""Estudio Juridico Rousseaux - Abogados"" en Concepcion del Uruguay; los directorios locales de profesionales no arrojaron una coincidencia especifica y verificable (nombre+direccion) para este registro puntual. No se marca como verificado para evitar asignar evidencia que no se encontro. Requiere confirmacion manual/telefonica.",(sin fuente especifica coincidente; se revisaron directorios generales de abogados/contadores de la ciudad),URU-00479
FerreLuz,Ferretería,comercios,"Alberdi 1131, Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 45-4648,-32.4874506,-58.2390815,,,,Verificado (Google Places),ChIJy8oKP1Xar5URQ78uc6yGGPQ,NUEVOSLUGARES5,✅ Verificado,Alta,"CORRECCIÓN: verificación previa vía web search general había señalado una posible dirección distinta (fuente: directorio desactualizado). Google Places confirma que ""Alberdi 1131"" (dirección original de la planilla) es correcta. 4.6★, 103 reseñas.",Google Places (place_id: ChIJy8oKP1Xar5URQ78uc6yGGPQ) - consultado 16/07/2026. Corrige hallazgo anterior de búsqueda web genérica.,URU-00006
FerreLuz,Ferretería,compras,"Alberdi 1131, Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 45-4648,-32.48745,-58.23908,,,,Verificado (Google Places),ChIJy8oKP1Xar5URQ78uc6yGGPQ,lugaresmaapapspapr,✅ Verificado,Alta,"CORRECCIÓN: verificación previa vía web search general había señalado una posible dirección distinta (fuente: directorio desactualizado). Google Places confirma que ""Alberdi 1131"" (dirección original de la planilla) es correcta. 4.6★, 103 reseñas.",Google Places (place_id: ChIJy8oKP1Xar5URQ78uc6yGGPQ) - consultado 16/07/2026. Corrige hallazgo anterior de búsqueda web genérica.,URU-00319
Haddad & Asociados,Estudio Jurídico,comercios,"Almafuerte 890, E3260 Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 42-5123,-32.4879323,-58.2348128,,,,Verificado (auditoría web múltiples fuentes),ChIJ-yUlYAfbr5URa1wYiIt_Z2Y,NUEVOSLUGARES5,✅ Verificado,Alta,Confirmado por sitio propio (haddadyasoc.com.ar) y Cylex con misma dirección exacta (Almafuerte 890).,haddadyasoc.com.ar; cylex.com.ar,URU-00079
Haddad & Asociados,Estudio contable/consultoría,finanzas,"Almafuerte 890, E3260 Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 42-5123,-32.4879,-58.23468,,,,,ChIJ-yUlYAfbr5URa1wYiIt_Z2Y,lugaresmaapapspapr,,,,,URU-00476
LAZARTE SERVICIO MECANICO,Taller Mecánico,comercios,"Bv. Ricardo Balbín 1766, E3260 Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 44-1136,-32.4795697,-58.2530385,,,,Verificado (auditoría web - fuente única),ChIJ-fi8Bv_br5URMO_ZKJdGC8w,NUEVOSLUGARES5,✅ Verificado,Media,"Confirmado por tallermec.com.ar (con reseñas de clientes) con dirección exacta ""Bv. Ricardo Balbín 1766"", coincide con el dataset.",tallermec.com.ar,URU-00055
LAZARTE SERVICIO MECANICO,Taller mecánico,transporte,"Bv. Ricardo Balbín 1766, E3260 Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 44-1136,-32.47957,-58.25304,4.8,36.0,,"Verificado (auditoria web - fuente unica, coincidencia exacta)",ChIJ-fi8Bv_br5URMO_ZKJdGC8w,lugaresmaapapspapr,Verificado,Alta,"El directorio especializado tallermec.com.ar confirma ""LAZARTE SERVICIO MECANICO"" con direccion exacta Bv. Ricardo Balbin 1766, Concepcion del Uruguay, incluyendo resenias de clientes.",tallermec.com.ar/p/lazarte-servicio-mecanico,URU-00452
La Sampedrina S.A.,Industria,compras,"Mz 4 Lote 15, Parque Industrial, E3260 Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 64-3303,-32.48519,-58.23202,,,,Verificado (Google Places),ChIJW6c9j7Lbr5UR8xJi8y0RWAo,lugaresmaapapspapr,✅ Verificado,Media,"Coincidencia exacta de nombre, dirección y teléfono en Google Places. 4.5★ (4 reseñas).",Google Places (place_id: ChIJW6c9j7Lbr5UR8xJi8y0RWAo) - consultado 16/07/2026,URU-00572
La Sampedrina S.A.,Fábrica de Chapas Asfálticas/Impermeabilización,oficios_tecnicos,"Mz 4 Lote 15, Parque Industrial, E3260 Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 64-3303,-32.4917424,-58.3052039,4.5,4.0,,,ChIJW6c9j7Lbr5UR8xJi8y0RWAo,NUEVOSLUGARES8,,,,,URU-01341
Libreria Proa,Librería,comercios,"España 14, E3260 Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 49-8730,-32.4852166,-58.2337146,,,,Verificado (auditoría web - fuente oficial),ChIJu__ZlQDbr5URInaW-a80uaM,NUEVOSLUGARES5,✅ Verificado,Alta,"Confirmada junto con Helvética/Universal en notas oficiales/periodísticas: ""Proa, España 14"", coincide con el dataset.",cdeluruguay.gob.ar; analisisdigital.com.ar; aimdigital.com.ar,URU-00015
Libreria Proa,Librería,compras,"España 14, E3260 Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 49-8730,-32.48522,-58.23371,4.6,189.0,,Verificado (auditoría web múltiples fuentes),ChIJu__ZlQDbr5URInaW-a80uaM,lugaresmaapapspapr,✅ Verificado,Alta,"Dirección España 14 confirmada por Cylex y por nota periodística municipal sobre ""La Noche de las Librerías"" (analisisdigital.com.ar), que también menciona actividades propias de la librería.",cylex.com.ar; analisisdigital.com.ar,URU-00427
Librería Helvetica,Librería,comercios,"25 de Mayo 208, E3260 Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 58-3914,-32.4815833,-58.2326514,,,,Verificado (auditoría web - fuente oficial),ChIJ0UcwJgDbr5UR5tPjVoBStzw,NUEVOSLUGARES5,✅ Verificado,Alta,"Confirmada por múltiples notas periodísticas y la propia Municipalidad (evento ""Noche de las Librerías"") listando ""Helvética, 25 de Mayo 208"", coincide exactamente con el dataset. También listada en Feria del Libro y directorios comerciales.",cdeluruguay.gob.ar; el-libro.org.ar; analisisdigital.com.ar; aimdigital.com.ar,URU-00012
Librería Helvetica,Librería,compras,"25 de Mayo 208, E3260 Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 58-3914,-32.48158,-58.23265,4.5,160.0,,Verificado (auditoría web múltiples fuentes),ChIJ0UcwJgDbr5UR5tPjVoBStzw,lugaresmaapapspapr,✅ Verificado,Alta,"Dirección 25 de Mayo 208 confirmada por nota periodística municipal (analisisdigital.com.ar) sobre ""La Noche de las Librerías"", que detalla su participación y actividades propias.",analisisdigital.com.ar,URU-00428
Librería Mafalda,Librería,comercios,"España 79, Concepción del Uruguay, Entre Ríos, Argentina",,-32.486108,-58.2338169,,,,Verificado (auditoría web múltiples fuentes),ChIJ-e8ptQDbr5UR7UiVMiyKN4k,NUEVOSLUGARES5,✅ Verificado,Alta,"Confirmada por directorio comercial, Facebook e Instagram propios del comercio, todos coincidiendo en ""España 79"". Se detectaron listados antiguos con otra dirección (Alberdi 810/812) que parecen corresponder a una ubicación previa; se prioriza la evidencia más reciente (redes sociales activas) que confirma España 79.",ar.todosnegocios.com; facebook.com/people/libreriamafaldacdelu; instagram.com/libreriamafalda.cdelu,URU-00014
Librería Mafalda,Librería,compras,"España 79, Concepción del Uruguay, Entre Ríos, Argentina",,-32.48611,-58.23382,4.7,36.0,,Verificado con diferencias,ChIJ-e8ptQDbr5UR7UiVMiyKN4k,lugaresmaapapspapr,🟡 Verificado con diferencias,Baja,"Existencia confirmada, pero las fuentes son contradictorias sobre la dirección: el registro original indica ""España 79"", un directorio (laguia.online) indica ""Alberdi 810"", y otro (Cylex) la ubica ""a 10 m"" de Proa (España 14), lo que sugiere que sí estaría en la zona de España. Requiere confirmación manual para resolver la discrepancia.",laguia.online (indica Alberdi 810); cylex.com.ar (la ubica cerca de España 14),URU-00429
Los Dos Hermanos Ferreteria,Ferretería,comercios,"Sta. Teresita 1313, E3260 Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 43-1146,-32.47618,-58.2449684,,,,Verificado (auditoría web múltiples fuentes),ChIJxZ86OFDar5URTdt4GOQieMc,NUEVOSLUGARES5,✅ Verificado,Alta,"Confirmado por registro de AFIP/CUIT (rubro ferretería/materiales de construcción) y sitio web propio del comercio, mismo domicilio (Santa Teresita 1311, diferencia menor de numeración respecto al 1313 del dataset).",cuitonline.com; corralonyferreterialosdoshermanos.com,URU-00007
Los Dos Hermanos Ferreteria,Ferretería,compras,"Sta. Teresita 1313, E3260 Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 43-1146,-32.47725,-58.25176,,,,,ChIJxZ86OFDar5URTdt4GOQieMc,lugaresmaapapspapr,,,,,URU-00499
Mayorista del Puerto,Mayorista,comercios,"Av. Costanera Paysandú, Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 42-2210,-32.4802742,-58.22229,,,,Verificado (auditoría web múltiples fuentes),ChIJ45SBGxvbr5URwtvY6RZ7Xj0,NUEVOSLUGARES5,✅ Verificado,Alta,"Confirmado por múltiples fuentes independientes: página de Instagram propia (@mayoristadelpuerto, +10.000 seguidores), página de Facebook (delpuertomayorista) y directorios/reseñas (directoriomayorista.com, argentopina.com, Waze), todas coincidiendo en dirección (Av. Costanera Paysandú, esquina 8 de Junio) y teléfono (+54 3442 42-2210), idéntico al de la planilla.",instagram.com/mayoristadelpuerto; facebook.com/delpuertomayorista; directoriomayorista.com; argentopina.com; waze.com,URU-00057
Mayorista del Puerto,Supermercado mayorista,compras,"Av. Costanera Paysandú, Concepción del Uruguay, Entre Ríos, Argentina",03442 42-2210,-32.48027,-58.22229,,,,Verificado (auditoría web múltiples fuentes),,lugaresmaapapspapr,✅ Verificado,Alta,"Confirmado por múltiples fuentes independientes (directoriomayorista.com, Facebook oficial con 7.930 seguidores, argentopina.com con 260 reseñas) coincidentes en dirección.",directoriomayorista.com; facebook.com/delpuertomayorista; argentopina.com,URU-00313
Taller mecánico Nico,Taller Mecánico,comercios,"Dr. J. Lacava 163, Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 68-3183,-32.4861156,-58.2533068,4.7,6.0,,Verificado (Google Places API),ChIJKZjTBADbr5URlFoVfc76t7k,Google Places API,✅ Verificado,Alta,"Verificado vía Google Places API: existencia, dirección, coordenadas y place_id confirmados directamente.",Sin fuente que confirme existencia en la dirección indicada,URU-00048
Taller mecánico Nico,Taller mecánico,transporte,"Dr. J. Lacava 163, Concepción del Uruguay, Entre Ríos, Argentina",+54 3442 68-3183,-32.48612,-58.25331,4.7,6.0,,No encontrado (auditoria web),ChIJKZjTBADbr5URlFoVfc76t7k,lugaresmaapapspapr,No encontrado,Baja,"Las coincidencias de ""Taller Mecanico Nico"" encontradas corresponden a talleres homonimos en otras localidades (General San Martin, Guadalajara-Mexico), no en Concepcion del Uruguay ni en Dr. J. Lacava 163. Requiere confirmacion manual en el lugar o descarte del registro.",(sin fuente coincidente en Concepcion del Uruguay),URU-00450
Yamil Servicio Mecánico,Taller Mecánico,comercios,"Isaias Torres 336, E3260 Concepción del Uruguay, Entre Ríos, Argentina",,-32.4822321,-58.2459257,,,,Verificado (auditoría web múltiples fuentes),ChIJNfDolY3br5URhb36o2X0-Fw,NUEVOSLUGARES5,✅ Verificado,Media,"Confirmado por página de Facebook propia y portal de reseñas (oopinoo, 18 opiniones) coincidiendo en nombre y rubro (taller mecánico). No se confirmó independientemente la dirección exacta (Isaías Torres 336).",ar.oopinoo.com; facebook.com/YAMIL.I.TOURNOUD,URU-00050
Yamil Servicio Mecánico,Taller mecánico,transporte,"Isaias Torres 336, E3260 Concepción del Uruguay, Entre Ríos, Argentina",,-32.48223,-58.24593,4.8,38.0,,Verificado (auditoria web multiples fuentes),ChIJNfDolY3br5URhb36o2X0-Fw,lugaresmaapapspapr,Verificado,Alta,"Confirmado por multiples fuentes independientes (Cylex, ciclolandiamotos.com.ar, oopinoo, latinoplaces) con la misma direccion exacta (Isaias Torres 336) y numero de telefono muy similar (+54 3442 42-8807 en una de las fuentes). Rubro y nombre del propietario (Yamil Tournoud) coinciden.",cylex.com.ar; ciclolandiamotos.com.ar; ar.oopinoo.com; ar.latinoplaces.com,URU-00449
